CRASH_ID,CRASH_DATE,CRASH_TIME,SEVERITY,CRASH_TYPE,CYCLISTS,CYCLIST_CASUALTIES,REPORTED_LOCATION,LATITUDE,LONGITUDE,LOCATION_1
1080564,19 February 2014,17:40,Injury,Other - Vehicle to Vehicle,1,1,BARRY/CLUNIES ROSS INTERSECTION,-35.27241,149.11732,"(-35.27241, 149.11732)"
1166018,15 August 2017,08:30,Property Damage Only,Other - Vehicle to Vehicle,1,0,MASSON STREET (WATSON -> MCCAUGHEY),-35.269785,149.125564,"(-35.269785, 149.125564)"
1037391,07 June 2012,17:45,Property Damage Only,Rear end collision,1,0,BARRY/COOYONG/NORTHBOURNE INTERSECTION,-35.275784,149.129771,"(-35.275784, 149.129771)"
1156523,16 March 2017,08:15,Injury,Other - Vehicle to Vehicle,1,1,MARCUS CLARKE STREET (EDINBURGH -> GORDON),-35.28323,149.124368,"(-35.28323, 149.124368)"
1034061,17 April 2012,18:05,Property Damage Only,Right angle collision,1,0,BEASLEY/WILKINS INTERSECTION,-35.371386,149.099824,"(-35.371386, 149.099824)"
1129822,22 February 2016,17:35,Property Damage Only,Right turn into oncoming vehicle,1,0,COULTER/LUXTON/SOUTHERN CROSS INTERSECTION,-35.236105,149.057956,"(-35.236105, 149.057956)"
1041067,14 July 2012,06:50,Injury,Right angle collision,1,1,ATHLLON/MELROSE INTERSECTION,-35.357062,149.091613,"(-35.357062, 149.091613)"
1186429,24 May 2018,10:30,Injury,Same direction side swipe,1,1,BARRY/COOYONG/NORTHBOURNE INTERSECTION,-35.275854,149.12966,"(-35.275854, 149.12966)"
1047466,23 October 2012,08:16,Injury,Right angle collision,1,1,MASSON/MCCAUGHEY INTERSECTION,-35.269553,149.123436,"(-35.269553, 149.123436)"
1068793,01 August 2013,08:30,Property Damage Only,Right angle collision,1,0,BARRY/WATSON INTERSECTION,-35.275353,149.125803,"(-35.275353, 149.125803)"
1119974,23 September 2015,16:10,Injury,Overturned (On Road),1,1,CANBERRA/DALBY INTERSECTION,-35.325275,149.153076,"(-35.325275, 149.153076)"
1175792,02 January 2018,09:45,Property Damage Only,Right angle collision,1,0,ANTILL/PHILLIP INTERSECTION,-35.246744,149.154031,"(-35.246744, 149.154031)"
1175419,22 December 2017,07:10,Property Damage Only,Right angle collision,1,0,A'BECKETT/KNOX INTERSECTION,-35.23538,149.151499,"(-35.23538, 149.151499)"
1088480,14 June 2014,13:50,Injury,Right turn into oncoming vehicle,1,1,LAMBERT/WATTLE INTERSECTION,-35.247679,149.119859,"(-35.247679, 149.119859)"
