ID,Name,Average User Rating,User Rating Count,Price,In-app Purchases,Developer,Age Rating,Languages,Size,Primary Genre,Genres,Original Release Date,Current Version Release Date,,,,,,,,,,,,,,,,,,,,
299139129,5x5 Shogi (MiniShogi) K55,4,16,2.99,,Yoshikazu Kakinoki,4+,"EN, JA",3940352,Games,"Games, Board, Strategy",11/12/2008,25/09/2015,,,,,,,,,,,,,,,,,,,,
299471086,Deep Green Chess,4,483,7.99,,Cocoa Stuff,4+,EN,99019776,Games,"Games, Board, Strategy",9/12/2008,28/01/2016,,,,,,,,,,,,,,,,,,,,
299631906,Jewel Lines,3,75,2.99,,"Software River Solutions, Inc",4+,EN,5731328,Games,"Games, Entertainment, Puzzle, Strategy",13/12/2008,29/08/2017,,,,,,,,,,,,,,,,,,,,
299813413,Lux DLX 3 - Map Conquest Game,4,5629,4.99,,Sillysoft Games,9+,"DA, NL, EN, FR, DE, IT, NO, NB, PT, ES, SV",93993984,Games,"Games, Strategy, Board, Entertainment",19/12/2008,26/03/2019,,,,,,,,,,,,,,,,,,,,
299878026,ChartFight SP,3,2482,0.99,,Mutant Piano Software,4+,"NL, EN",14894080,Games,"Games, Strategy, Board",17/12/2008,16/10/2017,,,,,,,,,,,,,,,,,,,,
300025550,Robo Logic,3.5,77,0.99,,digitalsirup GmbH,4+,"EN, FR, DE, JA",5044648,Games,"Games, Puzzle, Education, Strategy",15/12/2008,11/09/2009,,,,,,,,,,,,,,,,,,,,
300893278,RoboLogic Lite,3,1461,0,,digitalsirup GmbH,4+,"EN, DE",2584622,Games,"Games, Strategy, Puzzle",3/01/2009,28/08/2009,,,,,,,,,,,,,,,,,,,,
301163765,Kakinoki Shogi (Japanese Chess),4,75,4.99,,Yoshikazu Kakinoki,4+,"EN, JA",18432000,Games,"Games, Strategy, Board",19/01/2009,24/09/2015,,,,,,,,,,,,,,,,,,,,
301418753,Kings Corners Free,2.5,1741,0,,"Ilium Software, Inc.",4+,EN,2323719,Games,"Games, Entertainment, Card, Strategy",22/01/2009,22/08/2011,,,,,,,,,,,,,,,,,,,,
301733979,Flip Ninja,2.5,6,0,,Audacity Software Pte. Ltd.,4+,EN,1112393,Games,"Games, Strategy, Puzzle",16/01/2009,16/01/2009,,,,,,,,,,,,,,,,,,,,
301746785,Gun Runner Wars,3,740,0.99,,CUBIC digital,9+,EN,15541248,Games,"Games, Finance, Strategy, Simulation",4/02/2009,9/07/2016,,,,,,,,,,,,,,,,,,,,
302312895,Word Zapper,3,89,0.99,,NTP,4+,EN,16785408,Games,"Games, Strategy, Word, Entertainment",22/01/2009,7/10/2018,,,,,,,,,,,,,,,,,,,,
302331458,Antivirus,3,187,0,1.99,DeadRatGames,9+,EN,25563136,Games,"Games, Entertainment, Simulation, Strategy",3/02/2009,9/07/2015,,,,,,,,,,,,,,,,,,,,
302510211,Arcs,4,413,2.99,,Pomegranate Apps LLC,4+,EN,5106688,Games,"Games, Puzzle, Entertainment, Strategy",21/01/2009,10/05/2018,,,,,,,,,,,,,,,,,,,,
302532668,Shogi Kifu,,,3.99,,Yoshikazu Kakinoki,4+,"EN, JA",29797376,Games,"Games, Strategy, Board",14/07/2011,13/10/2018,,,,,,,,,,,,,,,,,,,,
302532668,Shogi Kifu,,,3.99,,Yoshikazu Kakinoki,4+,"EN, JA",29797376,Games,"Games, Strategy, Board",14/07/2011,13/10/2018,,,,,,,,,,,,,,,,,,,,
303188552,Strategery Lite,3.5,9121,0,,Affogato LLC,4+,EN,5421981,Games,"Games, Entertainment, Board, Strategy",5/02/2009,30/06/2010,,,,,,,,,,,,,,,,,,,,
303337299,Wedding Dash Deluxe,4.5,17056,0.99,"0.0, 0.99, 5.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99",Glu Games Inc,4+,EN,55803904,Games,"Games, Strategy, Action, Entertainment",28/01/2009,2/07/2014,,,,,,,,,,,,,,,,,,,,
